2022-06-01 08:44:59.916 debug 11768 --- [restartedMain] com.shanghai.Starter                     : Starting Starter on DESKTOP-4R9U7E7 with PID 11768 (D:\onegroup\target\classes started by zi in D:\onegroup)
2022-06-01 08:44:59.946 debug 11768 --- [restartedMain] com.shanghai.Starter                     : The following profiles are active: dev
2022-06-01 08:45:00.042 debug 11768 --- [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : The Class-Path manifest attribute in D:\maven1\repository\com\mchange\c3p0\0.9.5.5\c3p0-0.9.5.5.jar referenced one or more files that do not exist: file:/D:/maven1/repository/com/mchange/c3p0/0.9.5.5/mchange-commons-java-0.2.19.jar
2022-06-01 08:45:00.043 debug 11768 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-06-01 08:45:00.044 debug 11768 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-06-01 08:45:01.226 debug 11768 --- [restartedMain] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.shanghai.dao]' package. Please check your configuration.
2022-06-01 08:45:01.705 debug 11768 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8989 (http)
2022-06-01 08:45:01.721 debug 11768 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-06-01 08:45:01.721 debug 11768 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.29]
2022-06-01 08:45:01.815 debug 11768 --- [restartedMain] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring embedded WebApplicationContext
2022-06-01 08:45:01.815 debug 11768 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1771 ms
2022-06-01 08:45:02.021 debug 11768 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2022-06-01 08:45:02.223 debug 11768 --- [MLog-Init-Reporter] com.mchange.v2.log.MLog                  : MLog clients using slf4j logging.
2022-06-01 08:45:02.262 debug 11768 --- [restartedMain] com.mchange.v2.c3p0.C3P0Registry         : Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
2022-06-01 08:45:02.662 debug 11768 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-06-01 08:45:02.714 debug 11768 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8989 (http) with context path '/onegroup'
2022-06-01 08:45:02.718 debug 11768 --- [restartedMain] com.shanghai.Starter                     : Started Starter in 3.53 seconds (JVM running for 6.421)
2022-06-01 08:46:53.773 debug 11768 --- [http-nio-8989-exec-1] o.a.c.c.C.[.[localhost].[/onegroup]      : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-01 08:46:53.774 debug 11768 --- [http-nio-8989-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
